EXPLAIN
TAG	EISPOT
PDAC_COM3_02210
1e6 to 0.1 Hz; 15pts/dec; 30 mV; 1000 Ohm guess; 20s dwell; 1e9 max; 4min T dwell

Contact Size, 0.000000_mm^2
DC offset,0.000000_Volts
Amplitude,0.030000_Volts

Contact X position (mm), -7.000000
Contact Y position (mm), 34.500000
 Substrate Temp (C),2071.976333







ZCURVE	TABLE
	Pt	Time	Freq	Zreal	Zimag	Zsig	Zmod	Zphz	Idc	Vdc	IERange
	#	s	Hz	ohm	ohm	V	ohm	°	A	V	#
	1.000000E+0	0.000000E+0	7.325363E-1	3.035034E+6	-2.045061E+6	1.000000E+0	3.659741E+6	-3.397280E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	6.290258E-1	3.273402E+6	-2.078623E+6	1.000000E+0	3.877606E+6	-3.241570E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	5.425347E-1	3.498370E+6	-2.084601E+6	1.000000E+0	4.072365E+6	-3.078978E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	4.650298E-1	3.732793E+6	-2.079904E+6	1.000000E+0	4.273142E+6	-2.912646E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	3.985969E-1	3.985186E+6	-2.083086E+6	1.000000E+0	4.496772E+6	-2.759640E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	3.426535E-1	4.212861E+6	-2.057098E+6	1.000000E+0	4.688267E+6	-2.602579E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	2.929687E-1	4.438525E+6	-2.016286E+6	1.000000E+0	4.875030E+6	-2.443084E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	2.514753E-1	4.642928E+6	-1.967487E+6	1.000000E+0	5.042598E+6	-2.296528E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	2.162131E-1	4.848079E+6	-1.921463E+6	1.000000E+0	5.214968E+6	-2.162016E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.848383E-1	5.090150E+6	-1.894927E+6	1.000000E+0	5.431424E+6	-2.041895E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.587906E-1	5.291064E+6	-1.844446E+6	1.000000E+0	5.603333E+6	-1.921837E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.359484E-1	5.453238E+6	-1.773163E+6	1.000000E+0	5.734276E+6	-1.801233E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.167206E-1	5.633794E+6	-1.720894E+6	1.000000E+0	5.890764E+6	-1.698578E+1	0.000000E+0	0.000000E+0	4.000000E+0	
	1.000000E+0	0.000000E+0	1.001603E-1	5.784012E+6	-1.657657E+6	1.000000E+0	6.016862E+6	-1.599193E+1	0.000000E+0	0.000000E+0	4.000000E+0	
