tau,gamma,gamma_lo,gamma_hi,ftp,ftp_lo,ftp_hi
0.004701547224022139,210795.8969946738,61312.39888212372,391518.2623791687,1.2986215779089327e-09,1.004684969730125e-10,3.435380531287898e-09
0.00511717300711461,187277.74665185614,43756.44547797193,361589.18223595765,1.2700464120617796e-09,6.974264956204306e-11,3.40712994659549e-09
0.005569540905800136,165723.14824421838,29834.088875485275,334789.5069808354,1.24096503731082e-09,5.243707722982084e-11,3.3674972433944662e-09
0.006061898993497585,146145.90484771383,19317.034658619326,310320.09182689356,1.2110570557358638e-09,4.5870881682920705e-11,3.3283605939476564e-09
0.006597782479539547,128175.94837354196,11561.491658156807,285847.14243610896,1.178569724792652e-09,4.353952165840106e-11,3.3023268004275477e-09
0.007181039092537356,111598.46617182734,5668.133009663076,260284.38926149308,1.1453710240553877e-09,4.095852580338522e-11,3.2916866264096717e-09
0.007815856707684091,96726.72520283156,686.1726818990186,234604.86640431953,1.1175096695596649e-09,3.673851910849273e-11,3.287420160175726e-09
0.008506793416364171,83772.82601845179,-4002.133790091102,210010.15178601097,1.0978941812496704e-09,3.164025879126609e-11,3.2741626881219757e-09
0.009258810253973964,72648.28118003975,-8368.432210597904,187574.739544949,1.0838321598796476e-09,2.836946196723022e-11,3.244726832217524e-09
0.010077306820944617,63128.086792537564,-11905.179671154394,168195.24318616197,1.0689374650424154e-09,3.040963117352249e-11,3.1967452634562387e-09
0.010968160052731402,54889.6538738368,-14311.516738766917,151804.10597929097,1.0511339378780196e-09,3.879199273415728e-11,3.1322311780133123e-09
0.011937766417144382,47725.63228744093,-15850.219277845023,137494.15663463515,1.0393724474343464e-09,5.022169125248148e-11,3.06646322339845e-09
0.012993087842004172,41496.21049676821,-17018.37725588065,124055.43941852653,1.0451842069979488e-09,5.987036189808381e-11,3.015482033164414e-09
0.014141701702890239,36019.915250995604,-18191.942458719917,110939.84073422018,1.0714912890051856e-09,6.612646745325662e-11,2.9870622870507168e-09
0.015391855229902085,31150.380132716993,-19558.577461126817,98758.53419880832,1.1104276684163923e-09,7.148157415139331e-11,2.9831133508215557e-09
0.01675252472408217,26738.72139465537,-21226.026237738333,88282.89931000871,1.1505400962877675e-09,7.920939935036255e-11,3.0039753106340193e-09
0.018233480008684425,22677.616750766978,-23375.389908046145,79755.4247007175,1.1869626868462827e-09,9.0366574110806e-11,3.061603809600462e-09
0.01984535457805803,18939.374785073713,-26214.71656601538,72974.33169141308,1.2198913173894255e-09,1.0366584385885254e-10,3.1723781943945146e-09
0.021599721947827215,15467.551585710136,-29774.113946346777,67394.44021764168,1.2494424996175497e-09,1.1739708202619431e-10,3.3287255279484284e-09
0.023509178754572892,12187.966349630586,-33727.900077563034,62329.79944543162,1.2758695807811038e-09,1.307577769437146e-10,3.4818588089429774e-09
0.025587435201685892,9045.770659411737,-37492.552040558396,57111.683088728765,1.2985118645194435e-09,1.4423764203555355e-10,3.5625038055433976e-09
0.0278494135008065,6024.45619989385,-40700.19173323795,51500.44982809974,1.3201899937799273e-09,1.610948089287434e-10,3.551779039780223e-09
0.030311355015675823,3216.651975524605,-43369.134694128814,46005.092384809606,1.350276130257721e-09,1.8736639261535445e-10,3.5133796312254783e-09
0.032990936877709424,740.2268839569891,-45683.33222601524,41307.22681604572,1.3954601756646989e-09,2.2618959493010032e-10,3.5274425087867798e-09
0.03590739891061055,-1409.199195294602,-48007.7417633418,37654.81038411856,1.4513922231440108e-09,2.6922154582997414e-10,3.619312413782252e-09
0.03908168177536272,-3329.8658389944817,-50800.50548602971,34883.76194998029,1.5016312759955267e-09,2.961933536706617e-10,3.750675183322075e-09
0.04253657732750392,-5123.723541034762,-54252.91368534658,32698.29703320963,1.5287732112460276e-09,2.9068123670137455e-10,3.860997578270671e-09
0.04629689226627268,-6840.54660466275,-58068.14767528722,30953.357784317584,1.5293822256581872e-09,2.5659458376105637e-10,3.908134191793872e-09
0.050389626250651604,-8463.849588157935,-61565.19010416644,29633.35218675113,1.5090867648857481e-09,2.1250665937598367e-10,3.866598856247007e-09
0.05484416576121026,-9991.127537836597,-64372.76508276976,28670.82197062911,1.473590760779119e-09,1.7331312133971667e-10,3.737409717713489e-09
0.05969249509970739,-11474.194484997754,-66896.9702635086,27903.937251361207,1.4294009431907583e-09,1.4289921006384479e-10,3.569075365306484e-09
0.06496942604146125,-12955.835688661402,-69779.65092987413,27111.84262145621,1.3812657467023012e-09,1.1893181445918786e-10,3.4216519133726413e-09
0.0707128477894301,-14433.15855586857,-73308.98012184902,26187.36771847259,1.333743814259552e-09,9.931689582467e-11,3.320111577852726e-09
0.07696399902471167,-15831.428741152957,-77246.25216738856,25206.2961407792,1.2938122256593277e-09,8.462406458173629e-11,3.2499326564987645e-09
0.08376776400682924,-17044.338704144375,-81027.67598524045,24244.14741037854,1.2646995616598342e-09,7.579271971246603e-11,3.1833796285869543e-09
0.0911729948498494,-18049.630036102844,-84213.40570146247,23293.697508757585,1.242806479826872e-09,7.119866530533683e-11,3.1160015513986765e-09
0.09923286228832566,-18874.095703290044,-86425.77172278946,22285.987232512405,1.2193324976870338e-09,6.717302342690187e-11,3.0658969214843527e-09
0.1080052374516254,-19517.679858065436,-87350.61372881268,21186.920841968775,1.1880022726999374e-09,6.190466543576255e-11,3.0442937028408194e-09
0.11755310738783699,-19962.109220789134,-87066.34363798595,20158.384941199693,1.1548535921429829e-09,5.84881157493913e-11,3.043468352008105e-09
0.1279450273207876,-20155.057152807338,-85820.12526732721,19455.843637430913,1.1321284845788082e-09,6.234440479833338e-11,3.041930696330796e-09
0.13925561288744648,-20096.382519528746,-83994.01921721916,19186.84735956871,1.1263084153220583e-09,7.469057721382012e-11,3.0283335428775062e-09
0.15156607589006044,-19913.201633240165,-82304.63801716216,19247.539704376904,1.1350782108773475e-09,8.969248955953425e-11,3.015329938350052e-09
0.1649648074098024,-19732.890265467555,-81330.30435332502,19440.511535263755,1.1505548295924669e-09,9.979914374973586e-11,3.017247083816859e-09
0.1795480124687834,-19597.145801547937,-81109.01065474913,19677.36949739741,1.1665728863092925e-09,1.0363079124844687e-10,3.031468688141736e-09
0.19542040079740555,-19458.368906966076,-81170.98474049766,20004.731191320185,1.1800956100680598e-09,1.0659537762926456e-10,3.038304401733998e-09
0.2126959386668692,-19213.651727256845,-80965.41488180474,20472.841768078466,1.1896310044366215e-09,1.141503544015901e-10,3.0212262515624536e-09
0.23149866718511658,-18801.60766793681,-80493.98114107054,21084.18996736423,1.1987233904874286e-09,1.262876824833003e-10,2.9978659360823177e-09
