freq,Zreal,Zimag,Zlo,Zhi,sigma_re,sigma_im
(1.584893192461111+0j),(1.9923286205349289+0j),(-0.10223106461339047+0j),(0.49968103092929356+0.05571519871699507j),(3.542478589258275-0.26455504278220576j),0.0038989448335914694,0.0009535735936471811
(1.2589254117941662+0j),(1.9962101906016527+0j),(-0.08136506738798115+0j),(0.4955089755650218+0.04677295407919835j),(3.5542625222720985-0.21273712152779334j),0.003907356604522904,0.0009599391064119819
(1+0j),(1.998617123520365+0j),(-0.06463145062879823+0j),(0.4922563943027637+0.03941730815137833j),(3.5621596216682985-0.1710555976468343j),0.003934642613271023,0.0009502403103246447
(0.7943282347242805+0j),(2.0000877857346158+0j),(-0.05126926116341986+0j),(0.48963232534514556+0.03341883951892547j),(3.567562850585027-0.1376912990782212j),0.003950528966794496,0.0009467813265005883
(0.6309573444801929+0j),(2.0009695131962837+0j),(-0.040630022846187455+0j),(0.4874337869782651+0.028556186497188715j),(3.571381113329723-0.11107166122684942j),0.004321532537426521,0.0009455049636110297
(0.5011872336272715+0j),(2.0014847118442454+0j),(-0.032175545037807854+0j),(0.4855218672599344+0.024629720333992834j),(3.574201517922126-0.08987875424712563j),0.007609189338652763,0.0009449018402822478
(0.3981071705534969+0j),(2.0017748008998044+0j),(-0.025466013380097276+0j),(0.4838030345754973+0.021466860331091735j),(3.5763999602210403-0.0730284661137072j),0.009058668811453674,0.0009473571924651625
(0.31622776601683794+0j),(2.0019287842417848+0j),(-0.020145460330553182+0j),(0.48221486386469214+0.018922748916167194j),(3.5782147015401273-0.05963957644245987j),0.003909527045313662,0.0009441845432767757
(0.2511886431509577+0j),(2.0020017464900803+0j),(-0.01592780076543815+0j),(0.4807152769446318+0.01687818154479176j),(3.57979485046883-0.049001652815193836j),0.006881319827068417,0.0009440791623060709
(0.1995262314968879+0j),(2.0020269908724435+0j),(-0.012584517489883257+0j),(0.4792747558662983+0.015235841704673916j),(3.5812323755468354-0.040545461742303904j),0.0039275206679638885,0.0009440398880103667
(0.1584893192461111+0j),(2.0020241691939784+0j),(-0.00993408310218691+0j),(0.47787129472048906+0.013915667652752817j),(3.5825834096546076-0.033816895841508j),0.003909257066103568,0.0009444248722840179
(0.12589254117941662+0j),(2.002004737537482+0j),(-0.00783290126862689+0j),(0.4764878753671157+0.012850242397970123j),(3.5838822772419476-0.028454303509054122j),0.00391461645533532,0.0009462175218706143
(0.1+0j),(2.001975483313631+0j),(-0.00616760604191534+0j),(0.47511191498663785+0.011981128793471102j),(3.585150160787255-0.024169105114658355j),0.00390889526938408,0.0009438496045278115
(0.07943282347242805+0j),(2.001940640123955+0j),(-0.00484866163126815+0j),(0.47373572340683046+0.011256664479384206j),(3.5863998135152433-0.020729857261896925j),0.004293373282039843,0.0009442401448090594
(0.0630957344480193+0j),(2.001903042187662+0j),(-0.0038052098304848354+0j),(0.4723569853761734+0.01063107198543426j),(3.5876377621310986-0.017949816689078312j),0.0060965927553462244,0.0009438988887527171
(0.05011872336272714+0j),(2.0018647116033192+0j),(-0.002981036702789892+0j),(0.47097875973272224+0.01006425464329094j),(3.588865266808689-0.015677542079778894j),0.0075928097793158495,0.0009457632335698389
(0.039810717055349686+0j),(2.0018271670375887+0j),(-0.0023314502672212097+0j),(0.4696090976627454+0.009521669599037282j),(3.5900786920356884-0.013789768445905166j),0.003942343450382699,0.0009444365380491393
(0.031622776601683784+0j),(2.0017916039861525+0j),(-0.0018208376740171711+0j),(0.4682607185266783+0.008974105649203949j),(3.5912693676737666-0.012186080487741453j),0.003910889992920245,0.0009436497078974745
(0.02511886431509577+0j),(2.0017589847155053+0j),(-0.001420726198155617+0j),(0.4669511135643707+0.008397690466138578j),(3.5924230315321397-0.010785451873371692j),0.0040375105344990945,0.0009435776011082963
(0.019952623149688792+0j),(2.0017300501107678+0j),(-0.0011082582618240813+0j),(0.4657029461449583+0.007774840327016048j),(3.5935195060341307-0.009524886715935911j),0.003909844946775428,0.0009443665615103631
(0.01584893192461111+0j),(2.0017052913941495+0j),(-0.0008650191138251025+0j),(0.46454375342164417+0.007096681210257759j),(3.5945337561201187-0.008359817862578882j),0.003909555895997992,0.0009446664989933065
(0.01258925411794166+0j),(2.0016849194151187+0j),(-0.0006761490286503619+0j),(0.46350337880174675+0.006366312479133783j),(3.5954392854334802-0.007264931514242028j),0.003923584330461147,0.0009444077907087029
(0.01+0j),(2.001668847639124+0j),(-0.0005296754847476716+0j),(0.46260835557248764+0.005600705495222369j),(3.5962137302101334-0.006233366200851783j),0.003912988170816881,0.0009444926635789803
