tau,gamma,ftp
0.1275051240713013,0.001648368376793057,0.13577220445597293
0.1414991297434576,0.0016175982011100221,0.12407459424646604
0.15702901247293774,0.001604841169643531,0.11333430658538399
0.17426333860096507,0.0016047711219026794,0.10353228922079888
0.19338917504552322,0.0016145943930806763,0.09471889485357045
0.21461411978584058,0.0016297993041026455,0.08687405494551616
0.23816855519761607,0.001648239914288105,0.0799182166472869
0.2643081486974108,0.0016677994255491204,0.07376753743719255
0.29331662783900486,0.0016886787196951204,0.0682791442766986
0.32550885998350565,0.0017140996666392832,0.06340322874506601
0.36123426997094304,0.0017478061714851663,0.05900950298369865
0.40088063288984643,0.001797379358196545,0.055066037443997906
0.4448782831127585,0.0018687480071812163,0.05146091784195376
0.4937047852839004,0.001969378215344843,0.04817064298142112
0.5478901179593945,0.002103706250643764,0.045117630275051564
0.6080224261649427,0.0022764022859497026,0.04227659708688765
0.67475440531107,0.002487903769622221,0.0396067617857319
0.748810385759003,0.0027391635380612294,0.03707887296221732
0.8309941949353403,0.003026300432142965,0.03468870628267298
0.9221978823334341,0.00334664354603813,0.03240413218415246
1.0234114021054528,0.0036949149016765196,0.030240443577535657
1.135733358343105,0.004065302799234378,0.02816573034205021
1.2603829296797273,0.004454145482462037,0.026199187927597015
1.3987131026472386,0.004852734631980664,0.02431676815933886
1.552225357427048,0.005258913536962561,0.02253331853743253
1.7225859653987874,0.005661815602734991,0.020841049928806376
1.9116440753857036,0.006060546401256666,0.01925046296788355
2.121451784910632,0.006445389395149574,0.017773986599891614
2.35428641432242,0.0068129539678068105,0.016416564806153517
2.612675225563332,0.007154663225088706,0.015198600632851922
2.8994228538828812,0.0074624387428873186,0.014116746266518992
3.2176417502507353,0.007732471763438786,0.013183449431961404
3.5707859649004625,0.007952870465719434,0.012385902214750711
3.9626886387014784,0.008123734892626846,0.011723312773676251
4.397603609302721,0.008231372924685561,0.011175119135899666
4.880251583654434,0.008277878944137222,0.010728362582196992
5.415871378079476,0.008252175564983285,0.010352393131929667
6.010276782070388,0.008153947718157964,0.010011255132603281
6.669919663030129,0.007976885392903525,0.009653897997648904
7.401959996915652,0.007716288030216774,0.009232354945427217
8.214343584919439,0.0073724165333081005,0.008712905675552156
9.115888299750837,0.006934983133514633,0.008078918567992895
10.11637979766207,0.006406304342847565,0.00736091554742496
11.226677735108158,0.005779214135464047,0.006557960698912938
12.458833642950081,0.00506708324658174,0.00564329983413892
13.826221737646593,0.0042564722990324514,0.0045787395374788506
15.343684089300131,0.0033100893757326702,0.003393724519547043
17.02769172225898,0.0022296898550243434,0.0021872998881908128
18.896523396912116,0.001184856118411528,0.00112979715149591
20.970464013232306,0.0004578805570007314,0.0004303586110565869
23.27202478960412,0.00012252807911933644,0.00011442325424279777
25.826187606826746,2.2170823606724802e-05,2.0648019851597572e-05
28.66067616948256,2.684516456197318e-06,2.4973292891354093e-06
31.80625692794119,2.165689466510694e-07,2.0137589224244997e-07
35.297073027306574,1.1619729667998653e-08,1.0802562000284122e-08
39.17101490809261,4.143332104077024e-10,3.851659160166479e-10
43.47013158125035,9.815879768252412e-12,9.124605925823843e-12
48.241087041653735,1.544836707332993e-13,1.4360253846734682e-13
53.535666774107185,1.6150604501973045e-15,1.5012953979332876e-15
59.411339849650396,1.1216034330808166e-17,1.0425954481787778e-17
65.93188271333541,5.174051898747037e-20,4.809577425122217e-20
73.16807143427206,1.585483551316459e-22,1.4737972336566685e-22
81.19844993184009,3.227242843276554e-25,2.9999055709857296e-25
90.11018251665037,4.363553139492785e-28,4.056170328418582e-28
100.0,3.919110573396558e-31,3.6430356557993907e-31
