,tau,gamma,ftp
182,17.02769172225898,7.716739591015167e-05,0.003152901432421242
183,18.896523396912116,7.099533051524219e-05,0.002894691994904805
184,20.970464013232306,6.531720267688864e-05,0.0026580847883407037
185,23.27202478960412,6.009344086836986e-05,0.0024412024026337427
186,25.826187606826746,5.5287650370288373e-05,0.0022423412732736395
187,28.66067616948256,5.0866357230587603e-05,0.0020599539895795813
188,31.80625692794119,4.6798773014494234e-05,0.0018926336325289744
189,35.297073027306574,4.305657863277767e-05,0.0017390998780731606
190,39.17101490809261,3.961372568120937e-05,0.0015981866402671123
191,43.47013158125035,3.644625385584205e-05,0.0014688310608519043
192,48.241087041653735,3.353212312896057e-05,0.0013500636791731306
193,53.535666774107185,3.085105948030876e-05,0.0012409996393476744
194,59.411339849650396,2.838441307848099e-05,0.001140830811108256
195,65.93188271333541,2.611502789902008e-05,0.0010488187173362694
196,73.16807143427206,2.4027121849580548e-05,0.0009642881754156767
197,81.19844993184009,2.2106176549207702e-05,0.000886621571598576
198,90.11018251665037,2.0338835978967e-05,0.000815253697892795
199,100.0,1.8712813285436727e-05,0.0007496670898362303
